"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","type_order","GeneRatio_numeric"
"I: Lipid transport and metabolism","I: Lipid transport and metabolism","142/1909","183/3960",7.65238516308412e-17,7.65238516308412e-17,8.05514227693065e-16,"COG4200/COG4213/COG4215/COG4220/COG4224/COG4226/COG4227/COG4228/COG4229/COG4231/COG4233/COG4235/COG4237/COG4238/COG4241/COG4243/COG4245/COG4249/COG4252/COG4253/COG4256/COG4262/COG4264/COG4268/COG4271/COG4272/COG4276/COG4277/COG4279/COG4283/COG4284/COG4286/COG4289/COG4290/COG4291/COG4292/COG4294/COG4297/COG4299/COG4300/COG4304/COG4311/COG4316/COG4319/COG4327/COG4330/COG4332/COG4333/COG4335/COG4339/COG4354/COG4362/COG4370/COG4372/COG4377/COG4379/COG4381/COG4382/COG4383/COG4384/COG4385/COG4386/COG4387/COG4388/COG4389/COG4390/COG4392/COG4394/COG4397/COG4399/COG4401/COG4408/COG4413/COG4422/COG4425/COG4430/COG4443/COG4448/COG4453/COG4455/COG4457/COG4458/COG4463/COG4467/COG4469/COG4470/COG4471/COG4474/COG4476/COG4477/COG4478/COG4483/COG4487/COG4492/COG4493/COG4495/COG4496/COG4499/arCOG04202/arCOG04208/arCOG04229/arCOG04239/arCOG04240/arCOG04241/arCOG04245/arCOG04255/arCOG04270/arCOG04273/arCOG04274/arCOG04277/arCOG04281/arCOG04288/arCOG04289/arCOG04301/arCOG04302/arCOG04313/arCOG04314/arCOG04343/arCOG04345/arCOG04346/arCOG04353/arCOG04372/arCOG04376/arCOG04382/arCOG04383/arCOG04387/arCOG04393/arCOG04398/arCOG04415/arCOG04421/arCOG04426/arCOG04444/arCOG04447/arCOG04448/arCOG04449/arCOG04455/arCOG04461/arCOG04465/arCOG04472/arCOG04477/arCOG04482/arCOG04490",142,"I: Lipid transport and metabolism",0.0743844944997381
"R: General function prediction only","R: General function prediction only","53/1909","65/3960",2.37469608390278e-08,2.37469608390278e-08,1.24984004415936e-07,"COG5124/COG5134/COG5165/COG5206/COG5222/COG5255/COG5256/COG5262/COG5263/COG5267/COG5268/COG5269/COG5272/COG5276/COG5280/COG5281/COG5282/COG5293/COG5294/COG5295/COG5298/COG5301/COG5302/COG5310/COG5314/COG5316/COG5319/COG5322/COG5324/COG5337/COG5340/COG5345/COG5346/COG5347/COG5351/COG5353/COG5362/COG5377/COG5383/COG5394/arCOG05218/arCOG05791/arCOG06475/arCOG06640/arCOG07560/arCOG07611/arCOG08948/arCOG09452/arCOG09716/arCOG09717/arCOG09737/arCOG10148/arCOG10868",53,"R: General function prediction only",0.0277632268203248
"H: Coenzyme transport and metabolism","H: Coenzyme transport and metabolism","119/1909","182/3960",1.32364185761133e-06,1.32364185761133e-06,4.64435739512748e-06,"COG3905/COG3906/COG3907/COG3908/COG3910/COG3914/COG3915/COG3920/COG3921/COG3924/COG3925/COG3926/COG3933/COG3934/COG3936/COG3937/COG3940/COG3945/COG3948/COG3949/COG3951/COG3952/COG3953/COG3955/COG3957/COG3959/COG3960/COG3961/COG3962/COG3968/COG3975/COG3979/COG4001/COG4021/COG4032/COG4043/COG4059/COG4069/COG4076/COG4095/COG4097/COG4098/COG4102/COG4105/COG4107/COG4108/COG4110/COG4111/COG4112/COG4114/COG4115/COG4116/COG4121/COG4123/COG4127/COG4129/COG4132/COG4135/COG4136/COG4137/COG4143/COG4146/COG4147/COG4158/COG4160/COG4161/COG4167/COG4168/COG4171/COG4174/COG4176/COG4187/COG4188/COG4192/COG4194/COG4195/COG4197/COG4199/arCOG04045/arCOG04048/arCOG04049/arCOG04050/arCOG04067/arCOG04070/arCOG04071/arCOG04072/arCOG04076/arCOG04086/arCOG04087/arCOG04088/arCOG04090/arCOG04091/arCOG04092/arCOG04093/arCOG04094/arCOG04095/arCOG04097/arCOG04098/arCOG04099/arCOG04101/arCOG04107/arCOG04110/arCOG04115/arCOG04121/arCOG04126/arCOG04129/arCOG04133/arCOG04134/arCOG04152/arCOG04154/arCOG04157/arCOG04168/arCOG04172/arCOG04176/arCOG04177/arCOG04179/arCOG04182/arCOG04185/arCOG04186",119,"H: Coenzyme transport and metabolism",0.0623363017286537
"S: Function unknown","S: Function unknown","70/1909","106/3960",0.00013340088392264,0.00013340088392264,0.000351054957691158,"COG5401/COG5404/COG5405/COG5410/COG5413/COG5416/COG5424/COG5433/COG5435/COG5437/COG5440/COG5441/COG5444/COG5450/COG5457/COG5458/COG5463/COG5470/COG5471/COG5475/COG5476/COG5483/COG5484/COG5496/COG5498/COG5503/COG5504/COG5505/COG5506/COG5510/COG5511/COG5514/COG5517/COG5518/COG5519/COG5522/COG5525/COG5527/COG5531/COG5532/COG5542/COG5544/COG5545/COG5546/COG5549/COG5551/COG5553/COG5557/COG5561/COG5562/COG5564/COG5567/COG5578/COG5582/COG5584/COG5595/COG5601/COG5607/COG5610/COG5614/COG5626/COG5633/COG5645/COG5646/COG5647/COG5648/COG5654/COG5655/COG5663/arCOG05509",70,"S: Function unknown",0.036668412781561
"T: Signal transduction mechanisms","T: Signal transduction mechanisms","40/1909","57/3960",0.000598594877583147,0.000598594877583147,0.00126019974228031,"COG2401/COG2403/COG2404/COG2407/COG2409/COG2414/COG2425/COG2426/COG2429/COG2440/COG2443/COG2453/COG2454/COG2503/COG2511/COG2514/COG2515/COG2516/COG2518/COG2603/COG2604/COG2607/COG2609/COG2610/arCOG02431/arCOG02449/arCOG02459/arCOG02464/arCOG02475/arCOG02486/arCOG02487/arCOG02488/arCOG02499/arCOG02555/arCOG02634/arCOG02650/arCOG02675/arCOG02676/arCOG02677/arCOG02695",40,"T: Signal transduction mechanisms",0.0209533787323206
"F: Nucleotide transport and metabolism","F: Nucleotide transport and metabolism","130/1909","227/3960",0.0030081947251563,0.0030081947251563,0.00489100045330402,"COG3600/COG3603/COG3607/COG3611/COG3613/COG3615/COG3616/COG3618/COG3621/COG3623/COG3624/COG3625/COG3626/COG3628/COG3629/COG3634/COG3636/COG3640/COG3641/COG3642/COG3644/COG3647/COG3649/COG3652/COG3657/COG3658/COG3659/COG3661/COG3667/COG3668/COG3669/COG3671/COG3672/COG3676/COG3678/COG3679/COG3680/COG3683/COG3686/COG3689/COG3691/COG3692/COG3694/COG3698/COG3701/COG3705/COG3708/COG3715/COG3717/COG3718/COG3719/COG3721/COG3722/COG3723/COG3724/COG3725/COG3726/COG3727/COG3729/COG3730/COG3735/COG3736/COG3737/COG3738/COG3740/COG3741/COG3745/COG3747/COG3752/COG3754/COG3755/COG3756/COG3759/COG3762/COG3765/COG3766/COG3767/COG3770/COG3771/COG3772/COG3774/COG3776/COG3778/COG3779/COG3783/COG3786/COG3788/COG3789/COG3790/COG3791/COG3793/COG3797/COG3799/COG3800/COG3803/COG3809/COG3811/COG3815/COG3819/COG3822/COG3823/COG3825/COG3831/COG3837/COG3838/COG3844/COG3848/COG3852/COG3855/COG3856/COG3857/COG3859/COG3860/COG3862/COG3864/COG3865/COG3866/COG3869/COG3870/COG3871/COG3874/COG3877/COG3880/COG3882/COG3883/COG3885/COG3893/COG3895/COG3899/arCOG03714",130,"F: Nucleotide transport and metabolism",0.0680984808800419
"E: Amino acid transport and metabolism","E: Amino acid transport and metabolism","123/1909","214/3960",0.00325251530144718,0.00325251530144718,0.00489100045330402,"COG3300/COG3301/COG3306/COG3307/COG3309/COG3311/COG3312/COG3313/COG3315/COG3318/COG3324/COG3325/COG3327/COG3331/COG3332/COG3334/COG3335/COG3338/COG3343/COG3346/COG3347/COG3350/COG3358/COG3363/COG3366/COG3367/COG3369/COG3376/COG3378/COG3380/COG3381/COG3383/COG3384/COG3385/COG3387/COG3391/COG3395/COG3397/COG3401/COG3402/COG3405/COG3407/COG3409/COG3417/COG3418/COG3420/COG3421/COG3425/COG3426/COG3428/COG3429/COG3433/COG3435/COG3440/COG3442/COG3443/COG3449/COG3452/COG3454/COG3455/COG3456/COG3457/COG3458/COG3460/COG3461/COG3463/COG3464/COG3465/COG3467/COG3469/COG3473/COG3478/COG3479/COG3481/COG3483/COG3485/COG3491/COG3493/COG3496/COG3497/COG3498/COG3499/COG3500/COG3501/COG3504/COG3513/COG3514/COG3515/COG3519/COG3520/COG3521/COG3522/COG3523/COG3525/COG3527/COG3530/COG3533/COG3535/COG3536/COG3541/COG3543/COG3547/COG3548/COG3549/COG3552/COG3557/COG3559/COG3561/COG3566/COG3567/COG3570/COG3572/COG3575/COG3576/COG3584/COG3586/COG3587/COG3588/COG3592/COG3595/COG3598/arCOG03498/arCOG03505",123,"E: Amino acid transport and metabolism",0.0644316396018858
"V: Defense mechanisms","V: Defense mechanisms","91/1909","157/3960",0.00784660902761638,0.00784660902761638,0.0103244855626531,"COG4808/COG4814/COG4815/COG4817/COG4821/COG4822/COG4825/COG4826/COG4828/COG4832/COG4833/COG4834/COG4835/COG4836/COG4838/COG4839/COG4841/COG4842/COG4843/COG4845/COG4850/COG4851/COG4853/COG4857/COG4858/COG4862/COG4863/COG4865/COG4872/COG4874/COG4877/COG4884/COG4886/COG4887/COG4889/COG4892/COG4894/COG4901/COG4907/COG4908/COG4916/COG4924/COG4926/COG4927/COG4930/COG4933/COG4939/COG4940/COG4947/COG4952/COG4954/COG4955/COG4957/COG4959/COG4960/COG4963/COG4964/COG4965/COG4967/COG4972/COG4973/COG4975/COG4977/COG4980/COG4983/COG4988/COG4994/COG5000/COG5001/COG5002/COG5004/COG5005/COG5008/COG5011/COG5012/COG5013/COG5015/COG5017/COG5018/COG5026/COG5039/COG5043/COG5076/arCOG04843/arCOG04870/arCOG04889/arCOG04891/arCOG04898/arCOG04931/arCOG04941/arCOG04972",91,"V: Defense mechanisms",0.0476689366160293
"Q: Secondary metabolites biosynthesis, transport and catabolism","Q: Secondary metabolites biosynthesis, transport and catabolism","105/1909","191/3960",0.0325905129975759,0.0325905129975759,0.0381175590614923,"COG4506/COG4512/COG4531/COG4533/COG4535/COG4536/COG4537/COG4540/COG4542/COG4551/COG4558/COG4559/COG4568/COG4569/COG4573/COG4575/COG4578/COG4582/COG4585/COG4586/COG4587/COG4588/COG4589/COG4594/COG4604/COG4605/COG4606/COG4607/COG4608/COG4623/COG4625/COG4626/COG4627/COG4628/COG4630/COG4631/COG4633/COG4637/COG4641/COG4642/COG4643/COG4644/COG4648/COG4652/COG4657/COG4658/COG4660/COG4662/COG4669/COG4671/COG4674/COG4675/COG4676/COG4681/COG4683/COG4684/COG4687/COG4688/COG4693/COG4694/COG4695/COG4698/COG4699/COG4701/COG4702/COG4703/COG4704/COG4706/COG4713/COG4718/COG4722/COG4723/COG4727/COG4728/COG4731/COG4732/COG4733/COG4734/COG4739/COG4748/COG4752/COG4757/COG4758/COG4760/COG4768/COG4771/COG4774/COG4776/COG4779/COG4783/COG4784/COG4787/COG4790/COG4791/COG4792/COG4794/COG4797/COG4799/arCOG04536/arCOG04619/arCOG04727/arCOG04733/arCOG04748/arCOG04761/arCOG04772",105,"Q: Secondary metabolites biosynthesis, transport and catabolism",0.0550026191723415
