"feature","enrich_group","ef_lda","pvalue","padj"
"Eubacterium_rectale","Case",4.75035486253757,0.110498784019934,0.110498784019934
"Bifidobacterium_pseudocatenulatum","Case",4.54764119310569,0.233966253730194,0.233966253730194
"Megamonas_funiformis","Case",4.42024646534376,0.0843818652839764,0.0843818652839764
"Akkermansia_muciniphila","Case",4.02456682699662,0.151108128303709,0.151108128303709
"Dialister_hominis","Case",3.91216895389851,0.187939383304852,0.187939383304852
"GGB9347_SGB14313","Case",3.7517093346034,0.152078080792973,0.152078080792973
"Blautia_faecis","Case",3.58769164445405,0.136815544188534,0.136815544188534
"Bifidobacterium_breve","Case",3.50075507116411,0.152078080792973,0.152078080792973
"Eggerthella_lenta","Case",3.42536039773003,0.223507587659299,0.223507587659299
"Odoribacter_splanchnicus","Case",3.30093375557661,0.14462649805271,0.14462649805271
"Streptococcus_salivarius","Case",3.28331701307207,0.0989315992014091,0.0989315992014091
"Erysipelatoclostridium_ramosum","Case",3.2652002171204,0.159996584213247,0.159996584213247
"GGB3363_SGB4447","Case",3.19038364596746,0.215511527016249,0.215511527016249
"Bacteroides_faecis","Case",3.11220439664701,0.102542188558142,0.102542188558142
"Eisenbergiella_sp_OF01_20","Case",3.08357442933524,0.0756263255850151,0.0756263255850151
"Klebsiella_pneumoniae","Case",3.06657655115998,0.0421235980950414,0.0421235980950414
"Streptococcus_parasanguinis","Case",3.05280419387561,0.0125896534892374,0.0125896534892374
"Fructilactobacillus_sanfranciscensis","Case",2.96081370150245,0.0453630800336258,0.0453630800336258
"Coprobacillus_cateniformis","Case",2.89590532560379,0.0738350290739547,0.0738350290739547
"Clostridia_bacterium","Case",2.87386681147193,0.0185889966958927,0.0185889966958927
"Blautia_sp_MCC283","Case",2.84263408187476,0.0304151734638444,0.0304151734638444
"Olsenella_SGB74421","Case",2.79131427435861,0.152078080792973,0.152078080792973
"Oscillibacter_valericigenes","Case",2.73954636538637,0.152358688136278,0.152358688136278
"Clostridium_sp_AT4","Case",2.67282432367997,0.0762055147884674,0.0762055147884674
"Clostridiaceae_bacterium_AF18_31LB","Case",2.62852339804623,0.230324457309614,0.230324457309614
"Holdemanella_porci","Case",2.62632706104807,0.152078080792973,0.152078080792973
"Faecalimonas_umbilicata","Case",2.56074234831392,0.16339672018868,0.16339672018868
"Mediterraneibacter_glycyrrhizinilyticus","Case",2.52728050806607,0.12157661806404,0.12157661806404
"GGB32387_SGB47381","Case",2.50145784658203,0.152078080792973,0.152078080792973
"Clostridium_sp_AF36_4","Case",2.45826628517625,0.0287137412231128,0.0287137412231128
"Lachnospira_sp_NSJ_43","Case",2.44068154091741,0.0319457013394999,0.0319457013394999
"Schaalia_odontolytica","Case",2.41418722162642,0.00186946377305907,0.00186946377305907
"Parasutterella_excrementihominis","Case",2.39593715809825,0.177439575471152,0.177439575471152
"GGB3109_SGB4121","Case",2.38186306268887,0.218387290651402,0.218387290651402
"Actinomyces_graevenitzii","Case",2.27715329152692,0.0408901350942721,0.0408901350942721
"Pyramidobacter_piscolens","Case",2.26422739928074,0.236244348264418,0.236244348264418
"Zhenpiania_hominis","Case",2.25983095533944,0.0731077080969981,0.0731077080969981
"Sutterella_wadsworthensis","Case",2.21324172959483,0.216992443391076,0.216992443391076
"TM7_phylum_sp_oral_taxon_352","Case",2.21166000423204,0.108490575212267,0.108490575212267
"Schaedlerella_arabinosiphila","Case",2.11852878473345,0.152078080792973,0.152078080792973
"Mogibacterium_diversum","Case",2.11829923193155,0.0033034452070956,0.0033034452070956
"GGB9509_SGB14906","Case",2.11512385495768,0.0756263255850151,0.0756263255850151
"Actinomyces_bouchesdurhonensis","Case",2.10159843338052,0.0684883518986055,0.0684883518986055
"GGB30461_SGB63209","Case",2.03317204049521,0.152078080792973,0.152078080792973
"Faecalibacterium_prausnitzii","Control",4.66879019847308,0.0200021438173072,0.0200021438173072
"Gemmiger_formicilis","Control",4.35670531862851,0.0186047250100169,0.0186047250100169
"Roseburia_faecis","Control",4.11285579735555,0.0865697710850858,0.0865697710850858
"Alistipes_putredinis","Control",4.0703924396959,0.0459272283844279,0.0459272283844279
"Mediterraneibacter_faecis","Control",3.94747411551121,0.126252696588206,0.126252696588206
"Bacteroides_uniformis","Control",3.87479533927529,0.223507587659299,0.223507587659299
"Clostridiaceae_bacterium","Control",3.83461512795008,5.5088041697401e-06,5.5088041697401e-06
"Fusicatenibacter_saccharivorans","Control",3.72955486494299,0.0514620760833805,0.0514620760833805
"Ruminococcus_gnavus","Control",3.71247054660441,0.0247580304136005,0.0247580304136005
"GGB9715_SGB15265","Control",3.70387422540326,0.00487938628475571,0.00487938628475571
"Faecalibacterium_SGB15346","Control",3.63025298061439,0.180457711850844,0.180457711850844
"Oscillibacter_sp_ER4","Control",3.46803766896265,0.114947777401587,0.114947777401587
"Parasutterella_SGB9260","Control",3.46152178669334,0.0144163246335922,0.0144163246335922
"Coprococcus_comes","Control",3.44670902826784,0.175808169972799,0.175808169972799
"GGB9527_SGB14927","Control",3.3940365154371,0.0377037061142346,0.0377037061142346
"Ruminococcus_bicirculans","Control",3.38694881033839,0.197545462436575,0.197545462436575
"Alistipes_onderdonkii","Control",3.37572663837255,0.125847914026956,0.125847914026956
"Lachnospiraceae_bacterium_CLA_AA_H244","Control",3.37112679983269,0.00440511260428927,0.00440511260428927
"Oliverpabstia_intestinalis","Control",3.3307975181954,0.0400836373222776,0.0400836373222776
"Faecalicatena_fissicatena","Control",3.31189371833389,0.0299823601368391,0.0299823601368391
"Barnesiella_intestinihominis","Control",3.30981883986054,0.113011643299452,0.113011643299452
"Faecalibacterium_sp_CLA_AA_H233","Control",3.24310339354638,0.164942932323333,0.164942932323333
"Lachnospira_eligens","Control",3.19886508125588,0.00110190999909598,0.00110190999909598
"GGB4684_SGB6478","Control",3.17183061186925,0.172212237254507,0.172212237254507
"Dialister_invisus","Control",3.17010274512716,0.141245703339997,0.141245703339997
"Coprococcus_eutactus","Control",3.15616511337966,0.221487748711784,0.221487748711784
"Oscillospiraceae_bacterium_CLA_AA_H250","Control",3.1438830780059,0.000870658819797289,0.000870658819797289
"Ruminococcus_callidus","Control",3.12452434302675,0.119844278858226,0.119844278858226
"Clostridiales_bacterium_KLE1615","Control",3.12286186770825,0.0321458526584808,0.0321458526584808
"Alistipes_communis","Control",3.11735544987727,0.0573128367344487,0.0573128367344487
"Eubacteriaceae_bacterium","Control",3.08805873186629,0.0587965429081224,0.0587965429081224
"GGB4651_SGB6438","Control",3.07193834300528,0.152078080792973,0.152078080792973
"Clostridium_sp_AM49_4BH","Control",3.02873078570456,0.203383581634635,0.203383581634635
"Vescimonas_coprocola","Control",2.99563499337525,0.101001669584767,0.101001669584767
"GGB9602_SGB15031","Control",2.92326513940522,0.172212237254507,0.172212237254507
"Vescimonas_SGB15087","Control",2.90717010812756,0.164942932323333,0.164942932323333
"GGB9627_SGB15081","Control",2.90640354872902,0.0250329431530248,0.0250329431530248
"Bacteroides_thetaiotaomicron","Control",2.90264134355758,0.122757153160189,0.122757153160189
"Lachnospira_pectinoschiza","Control",2.89704405010916,0.242098990746858,0.242098990746858
"Eubacterium_sp_AF34_35BH","Control",2.88882844007685,0.0398915594884299,0.0398915594884299
"Bacteroides_xylanisolvens","Control",2.88524045676562,0.0725836012132256,0.0725836012132256
"Bacteroides_salyersiae","Control",2.88170498347219,0.182952766874075,0.182952766874075
"Lacrimispora_amygdalina","Control",2.86246124266323,0.151651620480511,0.151651620480511
"GGB3606_SGB4870","Control",2.84649153632121,0.152078080792973,0.152078080792973
"GGB4552_SGB6276","Control",2.81937200997283,0.236244348264418,0.236244348264418
"Alistipes_finegoldii","Control",2.81425939035554,0.0535867371964686,0.0535867371964686
"Alistipes_ihumii","Control",2.76943745171131,0.0186734354736875,0.0186734354736875
"Clostridium_sp_AF27_2AA","Control",2.76850251640258,0.036059416030108,0.036059416030108
"Methanobrevibacter_smithii","Control",2.73369186699917,0.152078080792973,0.152078080792973
"Romboutsia_timonensis","Control",2.68412244746629,0.0143521147216758,0.0143521147216758
"GGB4599_SGB6362","Control",2.64569269125873,0.152078080792973,0.152078080792973
"GGB9712_SGB15244","Control",2.59197498426613,0.0756263255850151,0.0756263255850151
"Eubacterium_sp_AF16_48","Control",2.5819557569624,0.131977298988636,0.131977298988636
"Roseburia_sp_AF02_12","Control",2.52495530798487,0.0392261479655504,0.0392261479655504
"Allisonella_histaminiformans","Control",2.52001618405694,0.210439942160322,0.210439942160322
"Parabacteroides_johnsonii","Control",2.48127216324649,0.0377037061142346,0.0377037061142346
"GGB9760_SGB15373","Control",2.46465189817964,0.0707671249701721,0.0707671249701721
"Lentihominibacter_faecis","Control",2.46321227576856,0.127602026006838,0.127602026006838
"Clostridium_perfringens","Control",2.45221711691062,0.0499274180121798,0.0499274180121798
"Desulfovibrio_piger","Control",2.40738519101949,0.0377037061142346,0.0377037061142346
"Roseburia_sp_AM59_24XD","Control",2.39026145707623,0.112441821183377,0.112441821183377
"Clostridium_SGB4751","Control",2.37006423185401,0.233549152235626,0.233549152235626
"Lawsonibacter_asaccharolyticus","Control",2.34699649802711,0.191510328414646,0.191510328414646
"GGB9715_SGB15266","Control",2.28950375617192,0.0756263255850151,0.0756263255850151
"GGB3653_SGB4964","Control",2.28379374291538,0.225040566079416,0.225040566079416
"GGB9200_SGB14139","Control",2.26009206500507,0.152078080792973,0.152078080792973
"GGB9365_SGB14341","Control",2.25382055929898,0.118744520559989,0.118744520559989
"Clostridiaceae_unclassified_SGB4771","Control",2.21278207668344,0.0247631032452614,0.0247631032452614
"GGB9561_SGB14972","Control",2.20706269075241,0.166834175095585,0.166834175095585
"Lachnospiraceae_bacterium_AM48_27BH","Control",2.2045317696772,0.159295407583745,0.159295407583745
"Clostridium_SGB6173","Control",2.17782686384681,0.183505487094207,0.183505487094207
"GGB2982_SGB3964","Control",2.17625888094991,0.161095059261137,0.161095059261137
"Klebsiella_variicola","Control",2.17513820703827,0.00862820707809478,0.00862820707809478
"Oscillospiraceae_bacterium","Control",2.17235303381004,0.0300254496363359,0.0300254496363359
"GGB9614_SGB15049","Control",2.08750374264529,0.132704456115167,0.132704456115167
"GGB3005_SGB3996","Control",2.06229468074671,0.0937010838015204,0.0937010838015204
"Enterococcus_faecalis","Control",2.04227447483595,0.157890106904795,0.157890106904795
"GGB51441_SGB71759","Control",2.04191224896352,0.223814388790942,0.223814388790942
"Coprobacillus_sp_AF33_1AC","Control",2.0277091629389,0.157890106904795,0.157890106904795
"Roseburia_sp_AM23_20","Control",2.01601561776102,0.152078080792973,0.152078080792973
"Streptococcus_lutetiensis","Control",2.01231158908895,0.152078080792973,0.152078080792973
"GGB9707_SGB15229","Control",2.01092873193077,0.130606586056879,0.130606586056879
"Enterobacter_roggenkampii","Control",2.00390147644467,0.0336869621293113,0.0336869621293113
